ENSG00000001167_LINE1661_NFYA_D_N2	CBF/NF-Y
ENSG00000089225_LINE3523_TBX5_D_N2	T-box
ENSG00000090447_LINE107_TFAP4_D_N2	bHLH
ENSG00000091010_LINE2645_POU4F3_D	Homeodomain,POU
ENSG00000091831_LINE2916_ESR1_D_N4	Nuclear
ENSG00000092067_LINE336_CEBPE_D_N1	bZIP
ENSG00000092607_LINE3528_TBX15_D_N1	T-box
ENSG00000095794_LINE339_CREM_D	bZIP
ENSG00000095951_LINE680_HIVEP1_D	C2H2
ENSG00000096401_LINE2834_CDC5L_D_N2	Myb/SANT
ENSG00000099326_LINE684_MZF1_D_N3	C2H2
ENSG00000100105_LINE688_PATZ1_D	C2H2
ENSG00000100146_LINE3352_SOX10_D_N1	Sox
ENSG00000100219_LINE344_XBP1_D_N4	bZIP
ENSG00000100625_LINE2190_SIX4_I	Homeodomain
ENSG00000100644_LINE115_HIF1A_D	bHLH
ENSG00000100811_LINE701_YY1_D_N9	C2H2
ENSG00000100968_LINE3191_NFATC4_D	Rel
ENSG00000100987_LINE2192_VSX1_D_N2	Homeodomain
ENSG00000101057_LINE2835_MYBL2_D_N1	Myb/SANT
ENSG00000101076_LINE2936_HNF4A_D_N7	Nuclear
ENSG00000101096_LINE3192_NFATC2_D_N2	Rel
ENSG00000101190_LINE116_TCFL5_I	bHLH
ENSG00000101216_LINE3291_GMEB2_D_N2	SAND
ENSG00000101412_LINE1763_E2F1_D_N3	E2F
ENSG00000101883_LINE2195_RHOXF1_D_N2	Homeodomain
ENSG00000102034_LINE1814_ELF4_D	Ets
ENSG00000102145_LINE2081_GATA1_D_N7	GATA
ENSG00000102349_LINE709_KLF8_D	C2H2
ENSG00000102554_LINE710_KLF5_D	C2H2
ENSG00000102878_LINE2709_HSF4_D	HSF
ENSG00000102908_LINE3198_NFAT5_D_N1	Rel
ENSG00000102935_LINE713_ZNF423_D_N2	C2H2
ENSG00000102974_LINE747_CTCF_D_N67	C2H2
ENSG00000103241_LINE1950_FOXF1_D_N2	Forkhead
ENSG00000103495_LINE797_MAZ_D	C2H2
ENSG00000104856_LINE3201_RELB_D	Rel
ENSG00000104903_LINE202_LYL1_I_N4	bHLH
ENSG00000105392_LINE2200_CRX_D	Homeodomain
ENSG00000105419_LINE2201_MEIS3_D_N1	Homeodomain
ENSG00000105516_LINE349_DBP_D_N2	bZIP
ENSG00000105610_LINE802_KLF1_D	C2H2
ENSG00000105672_LINE1815_ETV2_D	Ets
ENSG00000105698_LINE126_USF2_D_N7	bHLH
ENSG00000105717_LINE11890_PBX4_I_N5	Homeodomain
ENSG00000105722_LINE1816_ERF_D	Ets
ENSG00000105856_LINE3361_HBP1_D	Sox
ENSG00000105866_LINE807_SP4_D_N1	C2H2
ENSG00000105880_LINE2205_DLX5_D	Homeodomain
ENSG00000105967_LINE129_TFEC_D	bHLH
ENSG00000105991_LINE2206_HOXA1_D_N1	Homeodomain
ENSG00000105996_LINE2208_HOXA2_D_N2	Homeodomain
ENSG00000105997_LINE2210_HOXA3_D	Homeodomain
ENSG00000106004_LINE2211_HOXA5_D_N1	Homeodomain
ENSG00000106006_LINE2213_HOXA6_I	Homeodomain
ENSG00000106031_LINE2216_HOXA13_D_N3	Homeodomain
ENSG00000106038_LINE2221_EVX1_D	Homeodomain
ENSG00000106261_LINE809_ZKSCAN1_I	C2H2
ENSG00000106331_LINE2623_PAX4_D_N2	Homeodomain,Paired
ENSG00000106410_LINE2223_NOBOX_D_N2	Homeodomain
ENSG00000106459_LINE3634_NRF1_D_N3	Unknown
ENSG00000106511_LINE2224_MEOX2_D_N1	Homeodomain
ENSG00000106536_LINE2646_POU6F2_D_N2	Homeodomain,POU
ENSG00000106546_LINE130_AHR_D_N1	bHLH
ENSG00000106571_LINE813_GLI3_D	C2H2
ENSG00000106689_LINE2227_LHX2_D_N2	Homeodomain
ENSG00000106852_LINE2232_LHX6_D_N1	Homeodomain
ENSG00000107175_LINE352_CREB3_D_N1	bZIP
ENSG00000107187_LINE2239_LHX3_D	Homeodomain
ENSG00000107249_LINE815_GLIS3_D_N1	C2H2
ENSG00000107485_LINE2094_GATA3_D_N6	GATA
ENSG00000107807_LINE2240_TLX1_D_N1	Homeodomain
ENSG00000107859_LINE2244_PITX3_D	Homeodomain
ENSG00000108511_LINE2245_HOXB6_D	Homeodomain
ENSG00000108788_LINE134_MLX_D	bHLH
ENSG00000108813_LINE2252_DLX4_D	Homeodomain
ENSG00000108924_LINE356_HLF_D_N4	bZIP
ENSG00000109132_LINE2255_PHOX2B_D_N2	Homeodomain
ENSG00000109320_LINE3202_NFKB1_D_N3	Rel
ENSG00000109381_LINE1818_ELF2_D	Ets
ENSG00000109705_LINE2257_NKX32_D	Homeodomain
ENSG00000109787_LINE818_KLF3_D	C2H2
ENSG00000110693_LINE19574_SOX6_I_N7	Sox
ENSG00000110851_LINE821_PRDM4_D	C2H2
ENSG00000111046_LINE136_MYF6_D_N1	bHLH
ENSG00000111049_LINE482_MYF5_I_N8	bHLH
ENSG00000111087_LINE825_GLI1_D	C2H2
ENSG00000111145_LINE1820_ELK3_D_N1	Ets
ENSG00000111206_LINE1956_FOXM1_D	Forkhead
ENSG00000111249_LINE1692_CUX2_D_N1	CUT,Homeodomain
ENSG00000111424_LINE2940_VDR_D_N1	Nuclear
ENSG00000111704_LINE2264_NANOG_D	Homeodomain
ENSG00000111783_LINE3246_RFX4_D_N1	RFX
ENSG00000112033_LINE2943_PPARD_D	Nuclear
ENSG00000112182_LINE360_BACH2_D	bZIP
ENSG00000112242_LINE1768_E2F3_D_N1	E2F
ENSG00000112246_LINE139_SIM1_I	bHLH
ENSG00000112333_LINE2944_NR2E1_D_N1	Nuclear
ENSG00000112561_LINE140_TFEB_D_N2	bHLH
ENSG00000112592_LINE3569_TBP_D_N2	TBP
ENSG00000112658_LINE2806_SRF_D_N9	MADS
ENSG00000112837_LINE19949_TBX18_I_N1	T-box
ENSG00000113196_LINE142_HAND1_D	bHLH
ENSG00000113430_LINE2265_IRX4_I	Homeodomain
ENSG00000113580_LINE2958_NR3C1_D_N3	Nuclear
ENSG00000113658_LINE19362_SMAD5_I_N1	SMAD
ENSG00000113722_LINE2267_CDX1_D_N1	Homeodomain
ENSG00000113916_LINE832_BCL6_D	C2H2
ENSG00000114126_LINE1740_TFDP2_I	E2F
ENSG00000114315_LINE146_HES1_D	bHLH
ENSG00000114439_LINE3367_BBX_I	Sox
ENSG00000114853_LINE833_ZBTB47_I	C2H2
ENSG00000114861_LINE1957_FOXP1_D_N1	Forkhead
ENSG00000115112_LINE11247_TFCP2L1_I_N2	Grainyhead
ENSG00000115297_LINE2269_TLX2_D_N1	Homeodomain
ENSG00000115415_LINE3479_STAT1_D_N6	STAT
ENSG00000115507_LINE2273_OTX1_D_N2	Homeodomain
ENSG00000115816_LINE3645_CEBPZ_D	Unknown
ENSG00000115844_LINE2275_DLX2_D_N1	Homeodomain
ENSG00000115966_LINE362_ATF2_D_N1	bZIP
ENSG00000116016_LINE149_EPAS1_D	bHLH
ENSG00000116017_LINE44_ARID3A_D_N1	ARID/BRIGHT
ENSG00000116035_LINE2277_VAX2_D	Homeodomain
ENSG00000116044_LINE367_NFE2L2_D	bZIP
ENSG00000116132_LINE2279_PRRX1_D_N2	Homeodomain
ENSG00000116604_LINE2813_MEF2D_D_N2	MADS
ENSG00000116819_LINE19_TFAP2E_I	AP-2
ENSG00000116833_LINE2964_NR5A2_D	Nuclear
ENSG00000116990_LINE150_MYCL1_I	bHLH
ENSG00000117036_LINE1822_ETV3_D	Ets
ENSG00000117595_LINE2728_IRF6_I	IRF
ENSG00000117707_LINE3183_PROX1_D	Prospero
ENSG00000118058_LINE1721_MLL_D	CxxC
ENSG00000118217_LINE369_ATF6_D_N2	bZIP
ENSG00000118260_LINE378_CREB1_D_N5	bZIP
ENSG00000118263_LINE839_KLF7_I	C2H2
ENSG00000118495_LINE840_PLAGL1_D	C2H2
ENSG00000118513_LINE2848_MYB_D_N2	Myb/SANT
ENSG00000118526_LINE152_TCF21_I	bHLH
ENSG00000118689_LINE1963_FOXO3_D_N2	Forkhead
ENSG00000118707_LINE2283_TGIF2_D	Homeodomain
ENSG00000118922_LINE842_KLF12_D	C2H2
ENSG00000119138_LINE843_KLF9_I	C2H2
ENSG00000119508_LINE2965_NR4A3_D	Nuclear
ENSG00000119547_LINE1696_ONECUT2_D_N1	CUT,Homeodomain
ENSG00000119614_LINE2284_VSX2_D_N3	Homeodomain
ENSG00000119715_LINE2968_ESRRB_D_N2	Nuclear
ENSG00000119725_LINE845_ZNF410_D	C2H2
ENSG00000119866_LINE848_BCL11A_D	C2H2
ENSG00000119919_LINE2287_NKX23_I	Homeodomain
ENSG00000119950_LINE154_MXI1_D_N1	bHLH
ENSG00000120068_LINE2288_HOXB8_D	Homeodomain
ENSG00000120075_LINE2289_HOXB5_D	Homeodomain
ENSG00000120093_LINE2291_HOXB3_D	Homeodomain
ENSG00000120094_LINE2292_HOXB1_D	Homeodomain
ENSG00000120149_LINE2295_MSX2_D_N2	Homeodomain
ENSG00000120669_LINE260_SOHLH2_I	bHLH
ENSG00000120690_LINE1828_ELF1_D_N8	Ets
ENSG00000120693_LINE19375_SMAD9_I_N1	SMAD
ENSG00000120738_LINE864_EGR1_D_N8	C2H2
ENSG00000120798_LINE2970_NR2C1_D	Nuclear
ENSG00000120837_LINE3650_NFYB_D_N2	Unknown
ENSG00000121068_LINE3532_TBX2_D_N1	T-box
ENSG00000121075_LINE3535_TBX4_D_N1	T-box
ENSG00000121454_LINE2297_LHX4_I	Homeodomain
ENSG00000122145_LINE20002_TBX22_I_N1	T-box
ENSG00000122180_LINE160_MYOG_D	bHLH
ENSG00000122592_LINE2299_HOXA7_D	Homeodomain
ENSG00000122691_LINE162_TWIST1_D	bHLH
ENSG00000122859_LINE163_NEUROG3_I	bHLH
ENSG00000122877_LINE877_EGR2_D_N4	C2H2
ENSG00000123095_LINE165_BHLHE41_D_N2	bHLH
ENSG00000123268_LINE383_ATF1_D	bZIP
ENSG00000123307_LINE291_NEUROD4_I_N7	bHLH
ENSG00000123358_LINE2973_NR4A1_D	Nuclear
ENSG00000123364_LINE2300_HOXC13_D_N1	Homeodomain
ENSG00000123388_LINE2302_HOXC11_D_N2	Homeodomain
ENSG00000123405_LINE390_NFE2_D_N3	bZIP
ENSG00000123407_LINE2306_HOXC12_D_N1	Homeodomain
ENSG00000123411_LINE879_IKZF4_I	C2H2
ENSG00000123576_LINE2308_ESX1_D_N2	Homeodomain
ENSG00000123685_LINE392_BATF3_D	bZIP
ENSG00000124092_LINE881_CTCFL_D	C2H2
ENSG00000124216_LINE884_SNAI1_D	C2H2
ENSG00000124664_LINE1834_SPDEF_D_N2	Ets
ENSG00000124766_LINE3370_SOX4_D_N1	Sox
ENSG00000124782_LINE888_RREB1_D_N2	C2H2
ENSG00000124813_LINE3275_RUNX2_D_N2	Runt
ENSG00000124827_LINE2128_GCM2_D	GCM
ENSG00000124920_LINE2878_C11orf9_D	Ndt80/PhoG
ENSG00000125285_LINE3375_SOX21_D_N1	Sox
ENSG00000125347_LINE2729_IRF1_D_N2	IRF
ENSG00000125398_LINE3380_SOX9_D_N4	Sox
ENSG00000125492_LINE2310_BARHL1_I	Homeodomain
ENSG00000125533_LINE171_BHLHE23_D	bHLH
ENSG00000125618_LINE3159_PAX8_D	Paired
ENSG00000125740_LINE393_FOSB_D	bZIP
ENSG00000125798_LINE1969_FOXA2_D_N2	Forkhead
ENSG00000125813_LINE3161_PAX1_D	Paired
ENSG00000125816_LINE2311_NKX24_I	Homeodomain
ENSG00000125817_LINE1666_CENPB_D	CENPB
ENSG00000125820_LINE2314_NKX22_D_N2	Homeodomain
ENSG00000125878_LINE172_TCF15_I	bHLH
ENSG00000125952_LINE73_MAX_D_N10	bHLH
ENSG00000126351_LINE2975_THRA_D_N1	Nuclear
ENSG00000126368_LINE2979_NR1D1_D	Nuclear
ENSG00000126456_LINE2737_IRF3_D_N1	IRF
ENSG00000126561_LINE3481_STAT5A_D_N2	STAT
ENSG00000126603_LINE899_GLIS2_D	C2H2
ENSG00000126746_LINE901_ZNF384_D	C2H2
ENSG00000126767_LINE1846_ELK1_D_N6	Ets
ENSG00000126778_LINE2315_SIX1_I	Homeodomain
ENSG00000126804_LINE902_ZBTB1_I	C2H2
ENSG00000127124_LINE1225_HIVEP3_I_N1	C2H2
ENSG00000127152_LINE1229_BCL11B_I	C2H2
ENSG00000127528_LINE2754_KLF2_I_N15	C2H2
ENSG00000128272_LINE397_ATF4_D	bZIP
ENSG00000128573_LINE1970_FOXP2_D_N2	Forkhead
ENSG00000128604_LINE2740_IRF5_D_N1	IRF
ENSG00000128610_LINE909_FEZF1_I	C2H2
ENSG00000128645_LINE2316_HOXD1_I	Homeodomain
ENSG00000128652_LINE2317_HOXD3_I	Homeodomain
ENSG00000128709_LINE2319_HOXD9_D	Homeodomain
ENSG00000128710_LINE2321_HOXD10_D	Homeodomain
ENSG00000128713_LINE2322_HOXD11_D_N1	Homeodomain
ENSG00000128714_LINE2324_HOXD13_D_N1	Homeodomain
ENSG00000129152_LINE176_MYOD1_D_N3	bHLH
ENSG00000129173_LINE1772_E2F8_D	E2F
ENSG00000129194_LINE3392_SOX15_D_N1	Sox
ENSG00000129514_LINE1982_FOXA1_D_N7	Forkhead
ENSG00000129535_LINE398_NRL_D	bZIP
ENSG00000129654_LINE6757_FOXJ1_I_N53	Forkhead
ENSG00000129911_LINE910_KLF16_D	C2H2
ENSG00000130182_LINE911_ZSCAN10_I	C2H2
ENSG00000130522_LINE411_JUND_D_N6	bZIP
ENSG00000130675_LINE2327_MNX1_D	Homeodomain
ENSG00000130700_LINE2097_GATA5_D_N1	GATA
ENSG00000130751_LINE178_NPAS1_I	bHLH
ENSG00000130816_LINE1722_DNMT1_D	CxxC
ENSG00000131196_LINE3211_NFATC1_D_N1	Rel
ENSG00000131264_LINE2328_CDX4_I	Homeodomain
ENSG00000131408_LINE2980_NR1H2_D	Nuclear
ENSG00000131668_LINE2329_BARX1_D_N1	Homeodomain
ENSG00000131759_LINE2987_RARA_D_N3	Nuclear
ENSG00000131931_LINE3588_THAP1_D_N1	THAP
ENSG00000132005_LINE3249_RFX1_D_N1	RFX
ENSG00000132170_LINE2990_PPARG_D_N2	Nuclear
ENSG00000132604_LINE2851_TERF2_I	Myb/SANT
ENSG00000133740_LINE1773_E2F5_D	E2F
ENSG00000133794_LINE179_ARNTL_D_N1	bHLH
ENSG00000133937_LINE2333_GSC_D	Homeodomain
ENSG00000134046_LINE2819_MBD2_D	MBD
ENSG00000134107_LINE183_BHLHE40_D_N3	bHLH
ENSG00000134138_LINE2334_MEIS2_D_N2	Homeodomain
ENSG00000134317_LINE2139_GRHL1_D_N2	Grainyhead
ENSG00000134323_LINE186_MYCN_D_N2	bHLH
ENSG00000134438_LINE2337_RAX_D	Homeodomain
ENSG00000134532_LINE3398_SOX5_D_N2	Sox
ENSG00000134595_LINE3399_SOX3_I	Sox
ENSG00000134852_LINE191_CLOCK_D	bHLH
ENSG00000134954_LINE1864_ETS1_D_N5	Ets
ENSG00000135100_LINE2344_HNF1A_D_N4	Homeodomain
ENSG00000135111_LINE3538_TBX3_D	T-box
ENSG00000135373_LINE1869_EHF_D_N2	Ets
ENSG00000135374_LINE1873_ELF5_D_N3	Ets
ENSG00000135457_LINE2141_TFCP2_D_N1	Grainyhead
ENSG00000135547_LINE193_HEY2_D_N2	bHLH
ENSG00000135625_LINE931_EGR4_D_N3	C2H2
ENSG00000135638_LINE2346_EMX1_D_N2	Homeodomain
ENSG00000135903_LINE2625_PAX3_D_N1	Homeodomain,Paired
ENSG00000136327_LINE2348_NKX28_D	Homeodomain
ENSG00000136352_LINE2353_NKX21_D	Homeodomain
ENSG00000136367_LINE2354_ZFHX2_D	Homeodomain
ENSG00000136535_LINE3540_TBR1_D_N2	T-box
ENSG00000136574_LINE2102_GATA4_D_N2	GATA
ENSG00000136630_LINE2355_HLX_I	Homeodomain
ENSG00000136826_LINE939_KLF4_D	C2H2
ENSG00000136931_LINE3001_NR5A1_D	Nuclear
ENSG00000136944_LINE2356_LMX1B_D_N2	Homeodomain
ENSG00000136997_LINE202_MYC_D_N7	bHLH
ENSG00000137090_LINE1730_DMRT1_D_N1	DM
ENSG00000137166_LINE1988_FOXP4_I	Forkhead
ENSG00000137203_LINE29_TFAP2A_D_N3	AP-2
ENSG00000137265_LINE2747_IRF4_D_N1	IRF
ENSG00000137270_LINE2132_GCM1_D_N4	GCM
ENSG00000137273_LINE1989_FOXF2_D_N2	Forkhead
ENSG00000137309_LINE57_HMGA1_D	AT
ENSG00000137492_LINE3592_PRKRIR_D	THAP
ENSG00000137709_LINE2649_POU2F3_D_N1	Homeodomain,POU
ENSG00000138083_LINE2358_SIX3_I	Homeodomain
ENSG00000138136_LINE2359_LBX1_D	Homeodomain
ENSG00000138336_LINE1723_TET1_D	CxxC
ENSG00000138378_LINE3487_STAT4_D_N1	STAT
ENSG00000138795_LINE3404_LEF1_D_N1	Sox
ENSG00000139083_LINE1875_ETV6_D_N1	Ets
ENSG00000139352_LINE730_ASCL1_I_N2	bHLH
ENSG00000139515_LINE2371_PDX1_D_N2	Homeodomain
ENSG00000139651_LINE949_ZNF740_D_N2	C2H2
ENSG00000139800_LINE950_ZIC5_I	C2H2
ENSG00000140009_LINE3002_ESR2_D_N2	Nuclear
ENSG00000140044_LINE415_JDP2_D_N2	bZIP
ENSG00000140262_LINE216_TCF12_D_N3	bHLH
ENSG00000140836_LINE2374_ZFHX3_D_N1	C2H2
ENSG00000140968_LINE2752_IRF8_D_N2	IRF
ENSG00000141448_LINE2103_GATA6_D_N2	GATA
ENSG00000141510_LINE3149_TP53_D_N2	p53
ENSG00000141568_LINE1994_FOXK2_I	Forkhead
ENSG00000141646_LINE3314_SMAD4_D	SMAD
ENSG00000141905_LINE3315_NFIC_D	SMAD
ENSG00000142025_LINE4258_DMRTC2_I_N2	DM
ENSG00000142611_LINE960_PRDM16_I	C2H2
ENSG00000142700_LINE1734_DMRTA2_D	DM
ENSG00000143032_LINE2380_BARHL2_D_N2	Homeodomain
ENSG00000143171_LINE3007_RXRG_D_N3	Nuclear
ENSG00000143178_LINE3541_TBX19_D	T-box
ENSG00000143190_LINE2665_POU2F1_D_N5	Homeodomain,POU
ENSG00000143257_LINE3012_NR1I3_D_N1	Nuclear
ENSG00000143355_LINE2383_LHX9_D_N1	Homeodomain
ENSG00000143365_LINE3014_RORC_D	Nuclear
ENSG00000143390_LINE3258_RFX5_D_N5	RFX
ENSG00000143437_LINE220_ARNT_D_N2	bHLH
ENSG00000143578_LINE419_CREB3L4_I	bZIP
ENSG00000143842_LINE3408_SOX13_D	Sox
ENSG00000143867_LINE963_OSR1_I	C2H2
ENSG00000143995_LINE2386_MEIS1_D_N2	Homeodomain
ENSG00000144355_LINE2389_DLX1_D	Homeodomain
ENSG00000144852_LINE3015_NR1I2_D_N1	Nuclear
ENSG00000146592_LINE421_CREB5_I	bZIP
ENSG00000146618_LINE224_FERD3L_I	bHLH
ENSG00000147421_LINE2390_HMBOX1_D	Homeodomain
ENSG00000147862_LINE3318_NFIB_D	SMAD
ENSG00000148200_LINE3017_NR6A1_D_N2	Nuclear
ENSG00000148516_LINE581_ZEB1_D_N5	C2H2
ENSG00000148704_LINE2391_VAX1_D	Homeodomain
ENSG00000148737_LINE3416_TCF7L2_D_N2	Sox
ENSG00000148826_LINE14172_NKX62_I_N5	Homeodomain
ENSG00000149948_LINE59_HMGA2_D	AT
ENSG00000150347_LINE49_ARID5B_D_N1	ARID/BRIGHT
ENSG00000150907_LINE2000_FOXO1_D_N3	Forkhead
ENSG00000151090_LINE3021_THRB_D_N1	Nuclear
ENSG00000151322_LINE225_NPAS3_I	bHLH
ENSG00000151615_LINE2669_POU4F2_D_N2	Homeodomain,POU
ENSG00000151623_LINE3026_NR3C2_D_N1	Nuclear
ENSG00000151650_LINE2394_VENTX_D_N1	Homeodomain
ENSG00000151702_LINE1884_FLI1_D_N2	Ets
ENSG00000152192_LINE2674_POU4F1_D	Homeodomain,POU
ENSG00000152284_LINE3420_TCF7L1_D	Sox
ENSG00000152804_LINE2397_HHEX_I	Homeodomain
ENSG00000152977_LINE989_ZIC1_D_N2	C2H2
ENSG00000153234_LINE3032_NR4A2_D_N2	Nuclear
ENSG00000153266_LINE992_FEZF2_I	C2H2
ENSG00000153560_LINE2149_UBP1_D	Grainyhead
ENSG00000153779_LINE2398_TGIF2LX_D	Homeodomain
ENSG00000153879_LINE428_CEBPG_D_N2	bZIP
ENSG00000154727_LINE1896_GABPA_D_N7	Ets
ENSG00000154832_LINE1724_CXXC1_D	CxxC
ENSG00000155090_LINE1360_KLF10_I	C2H2
ENSG00000156127_LINE435_BATF_D_N1	bZIP
ENSG00000156150_LINE2400_ALX3_D_N2	Homeodomain
ENSG00000156273_LINE437_BACH1_D_N1	bZIP
ENSG00000156925_LINE999_ZIC3_D_N2	C2H2
ENSG00000157554_LINE1903_ERG_D_N3	Ets
ENSG00000157557_LINE1909_ETS2_D	Ets
ENSG00000157613_LINE447_CREB3L1_D_N3	bZIP
ENSG00000158711_LINE1910_ELK4_D_N5	Ets
ENSG00000158773_LINE237_USF1_D_N10	bHLH
ENSG00000159184_LINE2403_HOXB13_D_N2	Homeodomain
ENSG00000159216_LINE3282_RUNX1_D_N2	Runt
ENSG00000159263_LINE238_SIM2_I	bHLH
ENSG00000159387_LINE2406_IRX6_I	Homeodomain
ENSG00000159556_LINE2407_ISL2_D	Homeodomain
ENSG00000160113_LINE3037_NR2F6_D_N2	Nuclear
ENSG00000160199_LINE2408_PKNOX1_D_N1	Homeodomain
ENSG00000160224_LINE3298_AIRE_D	SAND
ENSG00000160685_LINE1022_ZBTB7B_D_N1	C2H2
ENSG00000160961_LINE1026_ZNF333_D	C2H2
ENSG00000160973_LINE2004_FOXH1_D	Forkhead
ENSG00000161940_LINE1031_BCL6B_D	C2H2
ENSG00000162086_LINE1032_ZNF75A_D	C2H2
ENSG00000162367_LINE243_TAL1_D_N1	bHLH
ENSG00000162419_LINE3299_GMEB1_D	SAND
ENSG00000162599_LINE3320_NFIA_D_N1	SMAD
ENSG00000162624_LINE2410_LHX8_I	Homeodomain
ENSG00000162676_LINE1033_GFI1_D_N2	C2H2
ENSG00000162702_LINE1036_ZNF281_I	C2H2
ENSG00000162761_LINE2411_LMX1A_D	Homeodomain
ENSG00000162772_LINE455_ATF3_D_N5	bZIP
ENSG00000162924_LINE3217_REL_D_N3	Rel
ENSG00000162992_LINE247_NEUROD1_D	bHLH
ENSG00000163064_LINE2413_EN1_D_N2	Homeodomain
ENSG00000163132_LINE2419_MSX1_D_N2	Homeodomain
ENSG00000163435_LINE1919_ELF3_D_N2	Ets
ENSG00000163497_LINE1921_FEV_D_N1	Ets
